dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error,lag,fps,lag_seconds
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,104.28410542296876,68.82485506255739,96.43191711459212,2.3027822143469865,505.9232829242488,38.39085444055898,138.7882157713017,76.63337012602359,48.62991269886617,53.109832658514684,31.98814786283405,246.3276338969007,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,110.97922068054379,74.86383102034065,99.48891453603453,1.1340897030177055,530.760153118038,43.82148048377705,142.14397270567213,85.03613294764011,56.442763409759706,54.2516157692701,31.825191982300822,262.3255078991967,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,111.55710881866692,86.76341843109765,91.80771633369174,1.1151487270675386,513.7406906434474,50.47146414073621,138.56019555440014,80.17309863568487,52.836616925184785,64.69121271892647,53.30813408656624,246.65525229601877,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,111.70607811995781,84.50683630922903,92.4785290376884,1.3381254356093313,508.6423966490723,47.91681031639322,139.60290889859755,79.53970384448073,51.09286184436968,65.37851402757421,52.881968975468894,246.21204163159152,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,111.78866658164563,82.48235893174888,92.11414658634497,0.7514087833857606,513.9843158188647,49.668630734477794,138.6701288081864,80.05121308385317,52.872403186630876,64.94966240310428,53.72803881810404,247.56671045613396,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,111.80408178238133,83.09699962831674,92.31823333091064,0.9143598607258978,509.13329591888123,47.61314085437291,138.69552530757727,79.54528115061518,51.66743401368645,65.52247196413308,53.52708933874044,245.590812650983,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4307,1077,114.48806127790884,83.06677732125426,102.24989457299361,1.861072877258695,530.8325493538275,36.87004680951387,148.9893731803791,64.62321563318469,41.96328773526133,83.56048617673332,51.54726489328439,270.80704323307174,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,114.50490292792713,80.34568085182106,97.18133676818557,2.528205385343564,496.80366386461526,46.40757925439287,142.58798262975668,76.84002044654486,45.95585098034306,68.44894395262763,55.51035164025792,258.71000953097945,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,117.53058469184562,80.36021873347018,98.74158647477282,5.170794553173639,519.8292001056313,50.86163687355271,150.04687302111486,77.93979706433234,44.90540198784183,70.50177666502557,58.190918596482504,271.10893442721976,16,29.99694418979359,0.533387664382293
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 2.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4307,1077,118.18391011812696,90.09170353886732,100.62963991372544,1.0376544246319295,566.9043722909009,51.21622002515094,145.6937980228344,93.590221606328,71.06641595547593,55.45988959899837,33.961287287487345,262.85407278100763,16,29.99694418979359,0.533387664382293
