,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,5400.0,0.010640546034888518,0.011901098334808648,-0.014963086807602952,0.0007744063846920662,0.010626861585599036,0.020291978814256983,0.03552646416622107,0.05048955097382402
avg_iris_rel_face_y_norm,5400.0,-0.17572214015882634,0.0028690132634908018,-0.18184322138224007,-0.1778620860253342,-0.1757517336203126,-0.17380673960210474,-0.16545695408198666,0.016386267300253415
face_yaw,5400.0,-0.03775648430119048,0.019517046367954965,-0.0776164941279496,-0.05100675903896758,-0.040535615477130804,-0.027440009857667775,0.0553155599271006,0.1329320540550502
face_pitch,5400.0,0.008842921267577708,0.009883285881203617,-0.0197948904960163,0.00045699846146555,0.00870635225300195,0.0164583915559155,0.038793406327736,0.0585882968237523
face_roll,5400.0,0.03859307216372034,0.01812766064629098,0.000579421368467,0.02883663148942885,0.0344241350750637,0.042677007804173196,0.127394300578281,0.126814879209814
yaw_avg_iris_x_interaction,5400.0,-0.0002963377520158958,0.0004797004519339494,-0.0014839180898113772,-0.0006288812644380566,-0.0002789374229351496,2.507279380408492e-05,0.0011629976414579237,0.002646915731269301
pitch_avg_iris_y_interaction,5400.0,-0.0015427380734647901,0.0017255559730161066,-0.006806421037963368,-0.0028622477047365704,-0.0015408349378326657,-8.077816082489628e-05,0.00350368089418635,0.010310101932149717
roll_avg_iris_x_interaction,5400.0,0.000491824424600813,0.0006109669991289717,-0.00042473963573894124,2.5267920996948797e-05,0.00035866966895990845,0.0007946916075368311,0.0026475537796404216,0.003072293415379363
roll_avg_iris_y_interaction,5400.0,-0.006781788266118427,0.00316013620015291,-0.02158917617169178,-0.00755950991753557,-0.00604063534602549,-0.005026698734888419,-0.0001029231222178451,0.021486253049473936
yaw_squared,5400.0,0.0018063966658818124,0.0012781281936308198,1.6338570771248536e-08,0.0007855148416178361,0.0016680767431516814,0.0026043686386749507,0.0060243201607140355,0.006024303822143264
pitch_squared,5400.0,0.00017585850758754552,0.00022869689979089077,1.0430325296664553e-12,1.0826622068840525e-05,7.87334443888912e-05,0.0002720834684533604,0.0015049283745088276,0.001504928373465795
roll_squared,5400.0,0.00181797644545223,0.0019881673563579417,3.3572912223617094e-07,0.000831551323849981,0.0011850210825359335,0.0018213270659020882,0.016229307819829404,0.01622897209070717
avg_iris_rel_face_x_norm_squared,5400.0,0.0002548311325802605,0.00029181517433103296,1.953421373480577e-11,3.2166792165163324e-05,0.00011966903936266147,0.00041176440807411455,0.00126212965615379,0.0012621296366195764
avg_iris_rel_face_y_norm_squared,5400.0,0.030886500254801132,0.0010060417325420917,0.02737600365408864,0.030208782731439825,0.03088867187057976,0.03163492164530788,0.03306695716267037,0.005690953508581731
