frame_id,path_id,leftdx,leftdy,rightdx,rightdy,face_center_x,face_center_y,face_width,face_height,face_yaw,face_pitch,face_roll,dot_x,dot_y,dot_vx,dot_vy,current_timestamp,elapsed_time,collide_x,collide_y,is_colliding,experiment_name,fixed_speed,radius,valid_face_detected
0,pong_constant_velocity,0.4528380036354065,0.5102974772453308,0.5540980100631714,0.5147197842597961,0.5015705585479736,0.5782713294029236,0.2332243025302887,0.3746299147605896,0.002639824711090075,0.03858376607951923,0.041680559550664895,0.4390625,0.7,4,3.0,1781103057868,0.03110957145690918,0,0,0,HeadStill1,4,10,1
1,pong_constant_velocity,0.45259228348731995,0.5101121068000793,0.5537991523742676,0.5145558714866638,0.5014974176883698,0.5781681656837463,0.23326605558395386,0.37460583448410034,0.002570425099430058,0.03828440901387672,0.04196679162544493,0.4453125,0.70625,4,3.0,1781103057902,0.06549429893493652,0,0,0,HeadStill1,4,10,1
2,pong_constant_velocity,0.45245522260665894,0.5100551247596741,0.5536273717880249,0.5145025849342346,0.501395982503891,0.5780214190483093,0.2331661581993103,0.37450528144836426,0.0024232600241469635,0.03855673804693056,0.04205870760903931,0.4515625,0.7125,4,3.0,1781103057931,0.09443902969360352,0,0,0,HeadStill1,4,10,1
3,pong_constant_velocity,0.4521377980709076,0.5098451375961304,0.5534197092056274,0.5142085552215576,0.5011459290981293,0.5777502119541168,0.23292505741119385,0.37445369362831116,0.0013526674879229773,0.03836311771956422,0.04110251396379427,0.4578125,0.71875,4,3.0,1781103057998,0.16170859336853027,0,0,0,HeadStill1,4,10,1
4,pong_constant_velocity,0.4520551562309265,0.5097720623016357,0.5532537698745728,0.5140702724456787,0.5010720193386078,0.5776786148548126,0.23285022377967834,0.3744753897190094,0.0011238094921169508,0.03819965748554214,0.040728311930066055,0.4640625,0.725,4,3.0,1781103058026,0.19026613235473633,0,0,0,HeadStill1,4,10,1
5,pong_constant_velocity,0.45194047689437866,0.5095822215080261,0.5531167984008789,0.5138435959815979,0.5009761869907379,0.5775013029575348,0.23284360766410828,0.3746393620967865,0.0008290738371687465,0.038178881219358085,0.04066800288080574,0.4703125,0.73125,4,3.0,1781103058060,0.22365236282348633,0,0,0,HeadStill1,4,10,1
6,pong_constant_velocity,0.45192283391952515,0.5094690918922424,0.5530085563659668,0.5136809945106506,0.5009234488010407,0.5773037016391754,0.23279333114624023,0.3745419681072235,0.0010922710429882652,0.03854385061582841,0.04037084542973799,0.4765625,0.7375,4,3.0,1781103058091,0.255232572555542,0,0,0,HeadStill1,4,10,1
7,pong_constant_velocity,0.4518715739250183,0.5094042420387268,0.5528886914253235,0.513521134853363,0.50089151263237,0.577202558517456,0.2327684760093689,0.3745458126068115,0.0007936839199560997,0.03868162695525472,0.039713962764005205,0.4828125,0.74375,4,3.0,1781103058142,0.3157775402069092,0,0,0,HeadStill1,4,10,1
8,pong_constant_velocity,0.45186781883239746,0.5093666315078735,0.5528402328491211,0.513468861579895,0.5008649587631225,0.5771250903606415,0.2327631115913391,0.3745010197162628,0.0005716858163276542,0.038793406327736,0.0396882421743983,0.4890625,0.75,4,3.0,1781103058169,0.3330049514770508,0,0,0,HeadStill1,4,10,1
9,pong_constant_velocity,0.4518471360206604,0.5093371272087097,0.5528311133384705,0.5134269595146179,0.5008534073829651,0.5770287811756134,0.23277774453163147,0.3744221031665802,0.0006043613108898341,0.0384010581110184,0.039472861146322535,0.4953125,0.75625,4,3.0,1781103058185,0.34947848320007324,0,0,0,HeadStill1,4,10,1
10,pong_constant_velocity,0.45183825492858887,0.5092354416847229,0.5528292655944824,0.5133599638938904,0.5008453845977783,0.5769086599349975,0.2327621579170227,0.37426894903182983,0.0006216228466305993,0.03809989216763752,0.03965999254607863,0.5015625,0.7625,4,3.0,1781103058205,0.3692741394042969,0,0,0,HeadStill1,4,10,1
