,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x,5394.0,-0.046464121004675,0.0026790802825185857,-0.053461045026779175,-0.04848016649484638,-0.046508443355560314,-0.044337566196918476,-0.04087338447570804,0.012587660551071134
left_iris_rel_face_y,5394.0,-0.06383664442470086,0.0026575788100931725,-0.06934746503829958,-0.0658027485013009,-0.06407538056373596,-0.061957536637783084,-0.05525984168052678,0.014087623357772805
right_iris_rel_face_x,5394.0,0.05122200065756181,0.003122024891088109,0.04375965595245357,0.048700949549674966,0.051043561100959756,0.053562019765377,0.05904532074928287,0.015285664796829301
right_iris_rel_face_y,5394.0,-0.06033628357972841,0.0024823724822691496,-0.06565768718719478,-0.06221455782651905,-0.06000775992870333,-0.0587202146649361,-0.05283607244491573,0.012821614742279053
