dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error,lag,fps,lag_seconds
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,100.03564354810182,65.50367610150833,91.23596226672065,0.9653318204253506,481.78174655378,36.46339277383281,142.92290410089834,70.95445169274173,43.04428390360641,54.45318405129196,32.835068760898466,229.9853109065676,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,100.06392373733037,63.50572693429123,94.13322630547516,0.860348986118786,521.13445014798,37.267304923495345,135.3190719699743,71.12122622886673,40.91344577418205,53.89157728296072,30.407889541970352,240.9964875565327,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 2.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,105.11108585698781,68.98120732759321,96.30685902431432,1.146329552031689,571.1648517824832,40.99481165572782,135.28691387590393,77.32371286158141,50.00806639747644,54.83152861654602,31.315476938076028,248.15135257506196,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.05}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,113.06473350415592,82.55045492173005,94.96123510615637,2.970200328536744,496.2923974151025,52.56351607579281,121.62334294860656,82.84976515271552,64.0800559168568,59.79534534334677,35.63123338605511,275.3702267539589,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,113.60903339156634,89.82614523620704,90.47179294309223,1.9366651607817218,489.61946075441193,55.1725329904899,133.69451329208778,78.41339174447809,51.29163220697414,66.38954545144195,54.31046071071526,244.7263760288363,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,113.62241552467074,90.44335504464816,90.28616653352768,2.123775949691122,490.24109470815915,54.959679951714655,134.76117104165047,78.91253932080215,52.12745989300082,66.12630008120539,54.825335009576015,243.84639815353628,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,113.82822745496598,89.20398341282849,91.27244462394037,0.9946071270133341,489.36208605060494,52.035065961746525,136.70840297293773,79.57275582341161,52.76005174577334,66.52412637694748,54.41898301304618,249.5253224070368,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,113.90132168117094,77.99857052493884,98.60639503418741,1.073561554252916,492.37804786725457,47.54955235623402,142.6780637819583,76.24041130634619,48.74053282364898,69.44571538536681,53.73662153978657,266.94852652814586,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4313,1079,114.62626851265799,89.83413137785284,91.00625981654052,1.0286494456203787,490.36237636230095,53.700087935161875,137.14912487514945,79.57252888076994,53.074227111095524,67.10078088382784,53.11092668278533,245.1122084988281,8,29.99694418979359,0.2666938321911465
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,knn,"{'n_neighbors': 10, 'weights': 'distance'}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4313,1079,116.47816375420113,64.76670879212726,123.11114152763973,1.1186846188959825,537.6150834166759,26.862211870584098,175.8170512795839,75.64533700847518,33.48519258734271,70.35503648481681,38.839341188039036,313.01557666417216,8,29.99694418979359,0.2666938321911465
