,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,5389.0,0.010648322132100655,0.011911972457433407,-0.014963086807602952,0.0007357496264483276,0.010653765873726979,0.020317041885519638,0.03552646416622107,0.05048955097382402
avg_iris_rel_face_y_norm,5389.0,-0.17572256675123188,0.002871919950718124,-0.18184322138224007,-0.17786451670111067,-0.17575919878547708,-0.17380278200736454,-0.16545695408198666,0.016386267300253415
face_yaw,5389.0,-0.03783626608127988,0.01945677882108133,-0.0776164941279496,-0.051016964587724,-0.0406011257531427,-0.0274811860141544,0.0553155599271006,0.1329320540550502
face_pitch,5389.0,0.008782536359468799,0.009802464711916708,-0.0197948904960163,0.0004529412593004,0.0086681957732076,0.0164355616619729,0.0375123244144201,0.0573072149104364
face_roll,5389.0,0.038588880848482,0.018145870787381117,0.000579421368467,0.0288228737391462,0.0344035890358405,0.0427003912699852,0.127394300578281,0.126814879209814
yaw_avg_iris_x_interaction,5389.0,-0.0002969618853922842,0.0004799905943992794,-0.0014839180898113772,-0.0006299488167415908,-0.0002810178854700272,2.5697478448377134e-05,0.0011629976414579237,0.002646915731269301
pitch_avg_iris_y_interaction,5389.0,-0.001532120725908389,0.001711218844032743,-0.006580656767526079,-0.0028520169643018517,-0.0015340681940184118,-7.98101592243291e-05,0.00350368089418635,0.010084337661712428
roll_avg_iris_x_interaction,5389.0,0.0004922608132460868,0.0006115127563690219,-0.00042473963573894124,2.4640008755230896e-05,0.00036012475424767763,0.0007964189910492258,0.0026475537796404216,0.003072293415379363
roll_avg_iris_y_interaction,5389.0,-0.006781069204916376,0.0031633115363705008,-0.02158917617169178,-0.0075647004295414655,-0.006036112616159747,-0.0050246104761418,-0.0001029231222178451,0.021486253049473936
yaw_squared,5389.0,0.001810079025108552,0.0012768276920950387,1.6338570771248536e-08,0.0007894714973098209,0.0016753376696638967,0.0026047892670924577,0.0060243201607140355,0.006024303822143264
pitch_squared,5389.0,0.00017320342888016785,0.00022124019802570425,1.0430325296664553e-12,1.079328388864623e-05,7.819295436499307e-05,0.00027106733800821267,0.0014071744829726985,0.0014071744819296658
roll_squared,5389.0,0.0018183132508935835,0.0019901789619019704,3.3572912223617094e-07,0.0008307580505827637,0.001183606938547005,0.0018233234146098282,0.016229307819829404,0.01622897209070717
avg_iris_rel_face_x_norm_squared,5389.0,0.00025525552155130813,0.000291961312389849,1.953421373480577e-11,3.201164169843997e-05,0.0001211699971067953,0.00041278219097795935,0.00126212965615379,0.0012621296366195764
avg_iris_rel_face_y_norm_squared,5389.0,0.030886666859333396,0.0010070596697989275,0.02737600365408864,0.03020740703349948,0.030891295957712846,0.03163578630131968,0.03306695716267037,0.005690953508581731
