dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error,lag,fps,lag_seconds
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,185.5522583078793,178.85595344311608,37.03186463951629,119.2586380958542,338.62355536441794,159.22716579318694,205.10923405757083,126.27158730741006,122.14927351320526,101.19359436360682,100.24444087033115,234.9169079111616,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,187.54012387219925,181.12903196802023,36.22117097960141,120.31750704629226,325.2819485319638,162.59514545750386,207.93396798167998,129.46476574229803,126.83218249333883,99.83503890207557,99.00443713160786,238.18023992013818,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,187.56316450786198,181.11361769887696,36.23943438063959,120.29751628266533,325.22056583002956,162.60610184291562,207.8295717873844,129.49003521970457,126.80502930580346,99.84345859627831,99.0044371315584,238.24837322390096,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 3}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4316,1079,188.28439928263046,180.33739707297627,40.26548532398652,129.6933006538729,356.4743872934108,156.1549644154071,212.79217952500125,128.76189945928027,123.4087858451798,102.75741002506754,99.61316169819773,241.39856576178215,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 5}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4316,1079,188.82846997366423,181.43513842017,39.56045563719032,129.1000609257716,356.821991270562,157.60391850915408,213.78382709022873,129.122379237533,124.46082242056839,102.67821901372778,99.61148386473565,240.6123405154471,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,polynomial_ridge,"{'degree': 2, 'alpha': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,191.5318545676915,96.63239881368987,209.3833559238141,6.370974937433466,934.2513947125145,54.66522231657402,229.24760131880134,86.0563357472293,50.75953463901602,148.1633299536796,67.20441191627195,610.5598859913054,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,polynomial_ridge,"{'degree': 2, 'alpha': 1.0}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,195.13340487759606,88.91500677049088,229.89990926830126,3.8438946054348686,983.0267692737368,53.04957170006811,220.74576671203846,71.65368970262814,41.58757058674823,161.36392235713032,61.46466893241314,621.6750112503779,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,gradient_boosting,"{'n_estimators': 100, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 5}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4316,1079,205.49995128776985,196.63158519593452,34.6294973623361,155.56357803984142,325.6941584692601,179.535386998134,225.04325770496538,142.7636368279419,139.99430324392785,109.42551435158431,109.47732365725139,260.0307731763627,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,gradient_boosting,"{'n_estimators': 100, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 3}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4316,1079,205.84706141604326,197.02855189712471,34.751422820623354,155.48187107804682,327.96684530561123,179.2844245453519,226.08983131006363,142.96397356860655,140.7194523391067,109.74530079387648,110.55617324945068,260.5662067680766,5,29.99694418979359,0.1666836451194666
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 100, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4316,1079,207.12529439008398,198.00561480183117,33.74635041852576,153.9424765301984,305.16075888793654,182.23748492898056,225.89937154344796,143.79376009350455,144.10377936133096,110.28297174857428,111.36614997351475,262.53258020677447,5,29.99694418979359,0.1666836451194666
