dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error,lag,fps,lag_seconds
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,99.64298196592814,61.30162845095619,94.05426238865043,0.5620107425402793,491.57741181035914,35.833448403598226,138.05797447532578,70.5373016857793,41.90772029859379,53.714305023988544,33.39099610469464,237.1512328746969,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,101.37124200639457,62.577136635380285,96.56605025574878,1.832852502180439,521.2326981024258,35.40985930944891,132.61172455967505,73.72882257249069,46.92784771280717,53.1747032567757,30.633140635260546,248.19977875271917,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 2.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,109.71089893901893,77.16978622143242,98.05013970626247,3.8457627497360627,576.0559573076345,45.22680719620522,134.4533882309042,84.077072761256,62.090324641529676,54.81936728302565,32.1990926702244,254.79695830026998,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,112.70160632555093,87.74113923654033,90.70385370598856,1.0977445653183553,504.24324693965394,51.686344672043724,133.5078960735205,78.97539528943133,53.33667787009848,65.68404884392399,54.568326028440666,245.8233841372828,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,113.45644647839339,87.2996562445918,90.53134298417848,0.8161709250524624,504.78297026560665,52.386996571711634,132.0985225607099,78.90487363042047,53.0366549169354,66.727512059115,55.837351942182345,248.92497402868455,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",4311,1078,114.25357988637364,82.37605644125786,104.65041954017748,0.43866132665626834,533.9044737654586,38.21537173813281,152.80088586470728,54.25191961935258,28.68437480972336,87.67556349937182,53.615675389928924,255.3757867319521,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,114.32417430773653,88.07776939367616,90.91673467654802,1.7085354462119382,503.7384329362222,54.160614169954044,136.6520370002716,80.1200610157918,53.45036734679013,66.79531976667427,55.10483788174231,248.24278382170903,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,114.43837637974677,77.78601917684172,95.15685944770344,3.0368184199799857,468.5479122951851,46.406474844696774,148.83989594363163,77.3326576284702,46.72517029153614,69.21254930368158,50.51458988389174,261.547840529379,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,115.5871559933846,88.21934875374302,90.74235226699454,2.0384123195147072,499.3323315068559,55.45962765425421,137.62767698391283,80.75303082786445,54.26352925109985,68.05173831538161,57.31618930212351,251.349086891091,11,29.99694418979359,0.3667040192628265
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.05}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4311,1078,116.13267096710157,86.93854650662055,95.1243128414603,7.36704991092727,515.2880970958502,55.22548701903341,122.09969531949204,86.5406963224022,66.36598778878502,59.62596155762473,35.033953025351686,275.4412842374047,11,29.99694418979359,0.3667040192628265
