,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,5397.0,0.010642296819208957,0.011904169351135436,-0.014963086807602952,0.0007743905603652446,0.010644819016190748,0.020295388738119105,0.03552646416622107,0.05048955097382402
avg_iris_rel_face_y_norm,5397.0,-0.17572220285616597,0.002869808599212055,-0.18184322138224007,-0.1778623570906745,-0.17575422047987715,-0.17380575069236032,-0.16545695408198666,0.016386267300253415
face_yaw,5397.0,-0.037778886184225174,0.019499317513885235,-0.0776164941279496,-0.0510081073281752,-0.0405700698164334,-0.027451799853326,0.0553155599271006,0.1329320540550502
face_pitch,5397.0,0.008826449866922234,0.009861297734085322,-0.0197948904960163,0.0004531365361328,0.0087005610835701,0.0164496294310447,0.038793406327736,0.0585882968237523
face_roll,5397.0,0.038591232837744065,0.018132530792598255,0.000579421368467,0.0288316738100719,0.0344189514587462,0.042691580171329,0.127394300578281,0.126814879209814
yaw_avg_iris_x_interaction,5397.0,-0.0002965130908509136,0.0004797761018420564,-0.0014839180898113772,-0.000629100142449888,-0.00027967809023609843,2.5143897637970555e-05,0.0011629976414579237,0.002646915731269301
pitch_avg_iris_y_interaction,5397.0,-0.0015398399001559622,0.0017216494621151218,-0.006806421037963368,-0.0028610483763374496,-0.0015385990751677456,-8.011473764885352e-05,0.00350368089418635,0.010310101932149717
roll_avg_iris_x_interaction,5397.0,0.0004919233773796228,0.0006111222404069824,-0.00042473963573894124,2.521189753443145e-05,0.0003594047524889896,0.0007950085263778414,0.0026475537796404216,0.003072293415379363
roll_avg_iris_y_interaction,5397.0,-0.006781467753241014,0.003160985212518711,-0.02158917617169178,-0.007563756114080504,-0.0060396161395063295,-0.0050265574381638985,-0.0001029231222178451,0.021486253049473936
yaw_squared,5397.0,0.0018073971739508887,0.0012777784434776203,1.6338570771248536e-08,0.000787528940960035,0.0016709842117956545,0.002604499899263809,0.0060243201607140355,0.006024303822143264
pitch_squared,5397.0,0.000175133391874283,0.00022668190900905843,1.0430325296664553e-12,1.0815882535081304e-05,7.861712434359076e-05,0.00027193310704943407,0.0015049283745088276,0.001504928373465795
roll_squared,5397.0,0.001818011004245416,0.0019887193916715887,3.3572912223617094e-07,0.000831265414690386,0.0011846642195195269,0.0018225710175250114,0.016229307819829404,0.01622897209070717
avg_iris_rel_face_x_norm_squared,5397.0,0.0002549414724880903,0.0002918586869100291,1.953421373480577e-11,3.209787449633235e-05,0.00011999339541082538,0.0004119028040313718,0.00126212965615379,0.0012621296366195764
avg_iris_rel_face_y_norm_squared,5397.0,0.030886526852023463,0.0010063204216732007,0.02737600365408864,0.03020843897373491,0.03088954601648927,0.031635018069850605,0.03306695716267037,0.005690953508581731
