dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error,lag,fps,lag_seconds
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,106.14038098460674,74.80981971955026,88.03888343987057,1.4579328284928412,476.4323805556417,48.2155225020429,134.12229383218684,77.39329104032498,56.510748382162305,55.98954200663883,33.337493599197714,232.64637627358692,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,106.30589260022394,78.59603876787692,84.91865250727159,2.602219241753197,447.49710914476884,44.31543085961794,148.33695821066263,77.35255094832196,58.08768112825361,55.85501617500891,34.964258367093635,227.47532310973224,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 2.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,107.13598156100409,73.9868799643313,91.64192867690298,2.412234242464904,517.5812394995537,48.21424970308847,136.0682039363041,78.15361014368334,53.66767491666691,57.36309605968589,35.11255478130292,242.82188373791143,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 0.5, 'epsilon': 0.05}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,111.22969042631061,78.13375824330933,92.63887068175659,7.492167622830714,477.50014455224675,54.13874582290595,117.39591737356598,78.53050701608808,61.24202622902908,62.88497004511575,39.14897080113708,267.5680100746227,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,113.8850628913914,88.72877863690996,89.80235532993285,1.8246331520358443,487.58721992466576,53.468194193041285,137.74804402120805,78.16357099097475,52.987132130630066,66.17233832742743,50.95700205297629,244.58744614076167,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,114.233689182617,83.12469914781701,96.42909088379675,0.9561184331010047,466.96910936359546,47.560065385346135,146.88295021740697,78.34312318637024,54.56848031745885,69.17847654576698,53.37350716640852,260.97490648985973,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,114.36651607203481,82.6382923591933,90.58994162433905,1.3296481036720382,494.3527855983162,49.554089062342065,161.67345480533558,83.73842173381387,54.819992076489555,61.5458613900859,49.188633134886324,259.42466972028154,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 1.0, 'epsilon': 0.05}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,114.47283966283993,86.28237863656575,92.42802899335541,2.386469204631592,518.946038746706,57.46945965744641,119.8943460573266,84.58042747109214,66.01742669734935,60.3618394415408,36.70404378384757,266.1272834058958,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 5.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,114.60247193881358,78.80424721282348,99.46579718240669,1.7633953409098275,562.3503484320898,54.03654735730315,140.47336132360294,80.33972642055897,54.51268871743842,65.84152705649736,40.10531865299551,272.1965358453028,3,29.99694418979359,0.10001018707167995
PingPong_HeadStill1,SQUARED_AND_INTERACTIONS,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",4317,1080,115.16981101048931,89.22530315350147,90.7680227655762,1.5410372069258398,492.5764118056277,54.26273699004562,140.0007009714241,78.58079099781257,52.818042112180464,67.25865389329908,51.62318103343662,245.91892838502454,3,29.99694418979359,0.10001018707167995
