dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,polynomial_ridge,"{'degree': 2, 'alpha': 1.0}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,611.9674409427673,382.4003245221381,675.0985440035261,21.07577688222942,3457.519242905836,200.47365725153264,718.2860338503756,325.6746657008645,200.24432714341327,471.59932629329455,226.70882121759763,1287.0183933022533
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 100, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,612.1067214735128,569.4354561653499,222.3973020124618,214.0223545389033,1096.7362465600665,440.6644107981886,778.3225201582717,493.31424298425156,431.2282650970497,293.7048735469927,338.81403622465825,955.3706149262771
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 10.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,625.7054952108812,575.2137010199751,289.79816290154747,99.67382777063467,1716.9931453073407,450.6941074166898,741.4996863990006,483.10329057570556,469.1257833783198,327.21820725510224,290.7425982073064,1031.2862629229112
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,polynomial_ridge,"{'degree': 2, 'alpha': 0.1}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,628.9544029938997,378.42357115127936,706.3869216583312,23.134324284779957,3590.165821320925,204.05980441940716,717.8038811563051,331.5011634655449,207.1777013658679,487.74590461500253,225.68757759477836,1366.7912765387878
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,polynomial_ridge,"{'degree': 2, 'alpha': 0.01}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,630.9669114509675,377.86278427937236,710.032823399153,23.593873593318705,3605.0400528668765,204.40794363799358,717.7694444576186,332.2112610749523,208.55017562223472,489.6493612913658,225.86228077896513,1376.3236064533357
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,elasticnet,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,633.9213786987734,611.7513771561696,231.32368125952618,209.25286185692292,1049.2494955659079,481.04725317110115,806.5083652204889,508.97625,466.5,306.665625,350.0,931.0226945983562
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,lasso,{'alpha': 1.0},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,633.9213786987734,611.7513771561696,231.32368125952618,209.25286185692292,1049.2494955659079,481.04725317110115,806.5083652204889,508.97625,466.5,306.665625,350.0,931.0226945983562
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,lasso,{'alpha': 1.0},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,633.9213786987734,611.7513771561696,231.32368125952618,209.25286185692292,1049.2494955659079,481.04725317110115,806.5083652204889,508.97625,466.5,306.665625,350.0,931.0226945983562
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,elasticnet,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,633.9213786987734,611.7513771561696,231.32368125952618,209.25286185692292,1049.2494955659079,481.04725317110115,806.5083652204889,508.97625,466.5,306.665625,350.0,931.0226945983562
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,664.72234272185,471.71511185053515,611.2735194856072,47.9298555544838,2921.9999995930907,244.93250028074982,805.5849422939738,448.86017022344026,242.5401703362922,426.0050574096752,240.8592731067668,1449.7705501815235
