,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x_norm,500.0,-0.21830099227009853,0.02544040169319491,-0.31257536451776924,-0.23125920593672805,-0.21622712614662337,-0.2022846156407244,-0.14073275676525576,0.17184260775251348
left_iris_rel_face_y_norm,500.0,-0.17482444762964247,0.013020612120871109,-0.216049036731681,-0.18436147515943602,-0.1748618904350328,-0.16535147503131936,-0.1300949243672588,0.08595411236442219
right_iris_rel_face_x_norm,500.0,0.22335100750226144,0.02130496274713019,0.12352399605336051,0.2150141863698279,0.224908571882091,0.23486908631321513,0.2902285804816943,0.1667045844283338
right_iris_rel_face_y_norm,500.0,-0.16433007107793363,0.01302986951949669,-0.2041491246496666,-0.17336708162740305,-0.16609754441710273,-0.15431086309689862,-0.12340572027648651,0.0807434043731801
