,count,mean,std,min,25%,50%,75%,max,range
avg_iris_x,500.0,0.5108903848230839,0.05339716595268598,0.37436817586421967,0.48597708344459534,0.5148136392235756,0.5384494736790657,0.6370381116867065,0.2626699358224869
avg_iris_y,500.0,0.49675918266177177,0.04099862063194155,0.4268629103899002,0.47514424473047256,0.4909335747361183,0.507945604622364,0.6282159388065338,0.2013530284166336
iris_dx,500.0,0.1053259043097496,0.01107302336416892,0.07352066040039057,0.09828397631645203,0.10627621412277222,0.11315181851387025,0.132756769657135,0.05923610925674444
iris_dy,500.0,0.0040245268940925635,0.00794538399430968,-0.02587342262268072,-0.0005378499627113342,0.00406961143016818,0.008570328354835524,0.035882145166397095,0.061755567789077814
