,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,5391.0,0.0106467417793238,0.011910044811148738,-0.014963086807602952,0.0007475423673631123,0.010650035901629102,0.020311014847135454,0.03552646416622107,0.05048955097382402
avg_iris_rel_face_y_norm,5391.0,-0.17572241600336894,0.002871397751187896,-0.18184322138224007,-0.1778637768066772,-0.17575891145101383,-0.17380422552189437,-0.16545695408198666,0.016386267300253415
face_yaw,5391.0,-0.03782200184156182,0.019467257638242495,-0.0776164941279496,-0.05101588587559845,-0.0405818794636931,-0.027475684497371797,0.0553155599271006,0.1329320540550502
face_pitch,5391.0,0.008793468631321836,0.00981706474973241,-0.0197948904960163,0.00045295691830960004,0.0086713629869974,0.0164374608270904,0.0384010581110184,0.0581959486070347
face_roll,5391.0,0.03858924350698607,0.0181425137521824,0.000579421368467,0.02882553597885935,0.0344106557296074,0.04270033044479615,0.127394300578281,0.126814879209814
yaw_avg_iris_x_interaction,5391.0,-0.0002968502630495252,0.00047993651756386463,-0.0014839180898113772,-0.0006296154803499421,-0.00028099703002041,2.544171348948203e-05,0.0011629976414579237,0.002646915731269301
pitch_avg_iris_y_interaction,5391.0,-0.0015340401508796438,0.001713800612943203,-0.006732786619551816,-0.0028544273805910098,-0.0015342865335225579,-7.98577585281499e-05,0.00350368089418635,0.010236467513738166
roll_avg_iris_x_interaction,5391.0,0.000492171964837994,0.0006114166907560059,-0.00042473963573894124,2.474939304511775e-05,0.0003601210973105335,0.0007960640189427662,0.0026475537796404216,0.003072293415379363
roll_avg_iris_y_interaction,5391.0,-0.006781126918255476,0.0031627260306721786,-0.02158917617169178,-0.0075645105704705,-0.00603635926930508,-0.0050246553096377315,-0.0001029231222178451,0.021486253049473936
yaw_squared,5391.0,0.0018094076457016404,0.001277066480795883,1.6338570771248536e-08,0.0007885104639232502,0.001673959352254943,0.0026046499114155746,0.0060243201607140355,0.006024303822143264
pitch_squared,5391.0,0.00017368197389769168,0.00022258994043096352,1.0430325296664553e-12,1.079669581489494e-05,7.822020425582394e-05,0.00027123372068065747,0.001474641264045812,0.0014746412630027793
roll_squared,5391.0,0.0018182194640774167,0.001989815653949789,3.3572912223617094e-07,0.0008309115315560352,0.0011840932277415626,0.0018233182200984846,0.016229307819829404,0.01622897209070717
avg_iris_rel_face_x_norm_squared,5391.0,0.00025517596570113924,0.000291936355192814,1.953421373480577e-11,3.203521295142043e-05,0.00012053982215103858,0.0004125373604457486,0.00126212965615379,0.0012621296366195764
avg_iris_rel_face_y_norm_squared,5391.0,0.03088661088171963,0.0010068770107097532,0.02737600365408864,0.03020790881134925,0.030891194954445318,0.031635523100482926,0.03306695716267037,0.005690953508581731
