,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x,5391.0,-0.04646270654900711,0.0026791543604982805,-0.053461045026779175,-0.04847610890865328,-0.04650689959526072,-0.04433650374412537,-0.04087338447570804,0.012587660551071134
left_iris_rel_face_y,5391.0,-0.06383444048261139,0.0026566746986503376,-0.06934746503829958,-0.06580078005790713,-0.06407308578491211,-0.061956229805946395,-0.05525984168052678,0.014087623357772805
right_iris_rel_face_x,5391.0,0.05122155703699583,0.003122836743159937,0.04375965595245357,0.04869458675384519,0.051039159297943115,0.05356509983539581,0.05904532074928287,0.015285664796829301
right_iris_rel_face_y,5391.0,-0.0603344376311411,0.0024818289084796797,-0.06565768718719478,-0.062212154269218445,-0.060007131099700906,-0.058719715476036105,-0.05283607244491573,0.012821614742279053
