,count,mean,std,min,25%,50%,75%,max,range
avg_iris_x,500.0,0.4841650913953781,0.019428876031277468,0.44944438338279724,0.46894052252173424,0.48285768181085587,0.4953889288008213,0.5636907815933228,0.11424639821052551
avg_iris_y,500.0,0.508906857162714,0.006584096569353885,0.49436837434768677,0.5037605836987495,0.5078870058059692,0.5131683871150017,0.5296145975589752,0.03524622321128845
iris_dx,500.0,0.12186549425125122,0.0024328917889644072,0.1146169006824494,0.12044619023799896,0.12166091799736023,0.12331143766641617,0.1293460726737976,0.014729171991348211
iris_dy,500.0,0.0015701736807823186,0.0043613602158447794,-0.0071297287940979,-0.0016626864671707153,0.0018795132637023926,0.004151098430156708,0.0222892165184021,0.0294189453125
