,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x_norm,500.0,-0.2169402712168938,0.015780436285100476,-0.25202677587000216,-0.22966691613714627,-0.21655863132550984,-0.20302511700692583,-0.18042779166529754,0.07159898420470462
left_iris_rel_face_y_norm,500.0,-0.16907493024326056,0.005603235985331286,-0.19241530246892075,-0.17239338271498575,-0.16876205327135674,-0.1655712803512967,-0.15329922218104106,0.03911608028787969
right_iris_rel_face_x_norm,500.0,0.2268165572810637,0.014332464812144282,0.19109391394804698,0.2165369739467555,0.22577934671943317,0.23847384861541066,0.25804065443991736,0.06694674049187038
right_iris_rel_face_y_norm,500.0,-0.16552738292399313,0.006393074364562071,-0.17969614970063263,-0.16904950544517855,-0.16534290207004032,-0.16139189109936963,-0.13672192249404536,0.04297422720658728
