leftdx,leftdy,rightdx,rightdy,face_center_x,face_center_y,face_width,face_height,face_yaw,face_pitch,face_roll,dot_x,dot_y
0.4420056939125061,0.498470664024353,0.5676765441894531,0.5000267624855042,0.503365570306778,0.5757989287376404,0.2865050137042999,0.4629617929458618,0.02301786038048734,0.050637616338427824,0.005813557638925989,0.709375,0.4354166666666667
0.4441045820713043,0.5012829303741455,0.5717389583587646,0.5061696171760559,0.5035858988761902,0.5818515539169311,0.2901585102081299,0.4701424837112427,0.01866948011237349,0.052839478062122684,0.03200426132256044,0.709375,0.4354166666666667
0.4479535222053528,0.5049545168876648,0.5756768584251404,0.5103897452354431,0.5058616638183594,0.58599973320961,0.29278773069381714,0.4719443619251251,0.0231422491476769,0.05402639268872951,0.03606395202354808,0.709375,0.4354166666666667
0.44900256395339966,0.5058103203773499,0.5762661695480347,0.51082444190979,0.506813007593155,0.586630779504776,0.2925017774105072,0.4722510278224945,0.022869857564104406,0.05360440082632242,0.03268878057893311,0.709375,0.4354166666666667
0.4511757791042328,0.5061236619949341,0.5779169797897339,0.510847270488739,0.5088140606880188,0.586747819185257,0.2919785976409912,0.4714186489582062,0.021501297925034725,0.05296148072613893,0.030059250742324073,0.709375,0.4354166666666667
0.45213693380355835,0.5068266987800598,0.5789191126823425,0.5115833282470703,0.5092754125595093,0.5870308816432953,0.28983038663864136,0.469680517911911,0.01890521572336473,0.051553208298828486,0.030039105258998763,0.85,0.5979166666666667
0.45333775877952576,0.5084134340286255,0.5805205702781677,0.5128403306007385,0.5093696415424347,0.5883737981319428,0.28939446806907654,0.4695495665073395,0.018837765475131114,0.052229768596542575,0.02738439841496465,0.85,0.5979166666666667
0.4547704756259918,0.5085093379020691,0.581488311290741,0.5130872130393982,0.5097334682941437,0.5884973466396332,0.28868529200553894,0.46876201033592224,0.019043023139735004,0.05139839086205054,0.029298786423126062,0.85,0.5979166666666667
0.45277780294418335,0.507849395275116,0.5792669653892517,0.5126347541809082,0.5084649622440338,0.5877593576908111,0.2877216637134552,0.4688226282596588,0.015070998661016287,0.051579717014925294,0.029406796768201633,0.85,0.5979166666666667
0.45259538292884827,0.5076188445091248,0.579318642616272,0.5122933983802795,0.5083732843399048,0.5874053359031677,0.28796321153640747,0.46809297800064087,0.01655140594893092,0.05089601220990369,0.027792489069483253,0.85,0.5979166666666667
0.44997328519821167,0.5075246691703796,0.5766391754150391,0.512097954750061,0.5080511689186096,0.5872539579868317,0.2881825566291809,0.4674777090549469,0.016418640216211252,0.050344961595884315,0.02751461274829305,0.6921875,0.5083333333333333
0.44874826073646545,0.5073948502540588,0.5751050710678101,0.5118259787559509,0.5076285243034363,0.5872003972530365,0.2881632447242737,0.4667961299419403,0.015353876874853787,0.04981584399848842,0.02707392173927119,0.6921875,0.5083333333333333
0.4488219618797302,0.5074299573898315,0.5751641392707825,0.511905312538147,0.5074979484081268,0.587133276462555,0.28803500533103943,0.46649402379989624,0.015696206801325753,0.046977558595694024,0.0272717680129868,0.6921875,0.5083333333333333
0.44914454221725464,0.5074068307876587,0.5754790306091309,0.5121977925300598,0.5075825214385986,0.5870563447475433,0.2878727316856384,0.4656618535518646,0.015918680713907254,0.04793488571117897,0.02920003775121628,0.6921875,0.5083333333333333
0.4494442045688629,0.5073671936988831,0.575776219367981,0.5121505260467529,0.5079621434211731,0.5870994985103607,0.28724271059036255,0.4666442573070526,0.015641921482557133,0.047984820267080376,0.02941980585757139,0.6921875,0.5083333333333333
0.45601001381874084,0.5129640698432922,0.5816550254821777,0.5158796906471252,0.5114928305149078,0.5903909921646118,0.2857867181301117,0.4629051685333252,0.04132469658459732,0.04700100176919135,0.018302712403344447,0.95625,0.8958333333333334
0.47258156538009644,0.5200099349021912,0.5944565534591675,0.5223727822303772,0.5256216764450073,0.5956854403018952,0.2774190306663513,0.4636625349521637,0.1091123105227639,0.054810655117231835,0.010679116042692893,0.95625,0.8958333333333334
0.4656146168708801,0.5198161005973816,0.5873583555221558,0.5234711170196533,0.5179568409919739,0.5968171834945679,0.27494579553604126,0.46356678009033203,0.10823486691994602,0.06346626618801239,0.019681347475687193,0.95625,0.8958333333333334
