,count,mean,std,min,25%,50%,75%,max,range
avg_iris_rel_face_x_norm,5384.0,0.010651260744687318,0.011917091742538941,-0.014963086807602952,0.0007297595327399042,0.010673221179363625,0.020320045318929027,0.03552646416622107,0.05048955097382402
avg_iris_rel_face_y_norm,5384.0,-0.17572335116521284,0.0028731095572090077,-0.18184322138224007,-0.17786663539352998,-0.1757631927286704,-0.1738012598550482,-0.16545695408198666,0.016386267300253415
face_yaw,5384.0,-0.03787072118534175,0.019432889973219947,-0.0776164941279496,-0.05101941753676813,-0.04063196074632495,-0.027502333009267903,0.0553155599271006,0.1329320540550502
face_pitch,5384.0,0.00875644696375836,0.009769525612062466,-0.0197948904960163,0.0004514964278899,0.0086381024185632,0.0164285992234957,0.036340554013511,0.0561354445095273
face_roll,5384.0,0.038587576556514076,0.01815424274249601,0.000579421368467,0.02880718518911355,0.0343958457787876,0.04271457303594925,0.127394300578281,0.126814879209814
yaw_avg_iris_x_interaction,5384.0,-0.0002972319003879628,0.0004801315561639349,-0.0014839180898113772,-0.0006302763289004629,-0.0002815453498461288,2.575052725510973e-05,0.0011629976414579237,0.002646915731269301
pitch_avg_iris_y_interaction,5384.0,-0.0015275546179190633,0.0017054343027150807,-0.006323144489061318,-0.0028514964941374955,-0.001529197178938473,-7.963357216436684e-05,0.00350368089418635,0.009826825383247667
roll_avg_iris_x_interaction,5384.0,0.0004924402269348994,0.0006117677826696743,-0.00042473963573894124,2.389868164943825e-05,0.00036100341076026634,0.0007969239353406874,0.0026475537796404216,0.003072293415379363
roll_avg_iris_y_interaction,5384.0,-0.0067808713787130236,0.003164772808619317,-0.02158917617169178,-0.007565653447911573,-0.006034267099966401,-0.005023317945365553,-0.0001029231222178451,0.021486253049473936
yaw_squared,5384.0,0.0018117585951678739,0.0012762297027158625,1.6338570771248536e-08,0.0007917461174894395,0.0016762142871831725,0.0026051669302800517,0.0060243201607140355,0.006024303822143264
pitch_squared,5384.0,0.00017210126684218504,0.0002183624354762868,1.0430325296664553e-12,1.0790413195564793e-05,7.813367743962922e-05,0.0002705298416359215,0.0013206358660089105,0.001320635864965878
roll_squared,5384.0,0.0018185163799926362,0.0019910916935879856,3.3572912223617094e-07,0.000829853918749377,0.0011830742206173578,0.001824534789382208,0.016229307819829404,0.01622897209070717
avg_iris_rel_face_x_norm_squared,5384.0,0.0002554400534370681,0.00029203383858915176,1.953421373480577e-11,3.1989003608614284e-05,0.00012120113124394165,0.00041290425375458095,0.00126212965615379,0.0012621296366195764
avg_iris_rel_face_y_norm_squared,5384.0,0.03088694937005862,0.0010074746453279868,0.02737600365408864,0.03020687792839593,0.030892699919798376,0.03163653998622901,0.03306695716267037,0.005690953508581731
