,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x,500.0,-0.05190429031848909,0.00666564140367717,-0.06771240234374998,-0.056541255116462685,-0.05220804214477537,-0.048134374618530304,-0.028796923160552934,0.038915479183197044
left_iris_rel_face_y,500.0,-0.06849440116882326,0.0060721206060666685,-0.08403717279434209,-0.07337306886911388,-0.06862429976463319,-0.06451928913593291,-0.05136508941650386,0.032672083377838224
right_iris_rel_face_x,500.0,0.05342161399126054,0.008072452310161411,0.021248614788055398,0.050168205797672255,0.05444891750812528,0.05824706256389614,0.07358210086822509,0.05233348608016969
right_iris_rel_face_y,500.0,-0.06446987427473069,0.006904392096800146,-0.08170153498649607,-0.06842183619737627,-0.06463481485843658,-0.05958429425954827,-0.043589448928832986,0.038112086057663086
