dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,656.9725054631465,626.6111402954509,267.16795228952805,177.24062981175206,1476.4402798880317,435.134294329845,828.9372477731466,554.6123256690742,504.8101672288027,277.6512745065471,255.69579243096632,1055.1495711589932
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,657.783558209378,628.5200496293869,267.52996974365544,178.87127381838118,1474.1897087941131,435.5635898350443,827.597585131977,555.6542989798362,503.8766371236392,277.6018723791554,255.65253118836424,1060.25444970747
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,hist_gradient_boosting,"{'max_iter': 2000, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 3}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,658.5120643088848,591.6171920248066,308.80142905157345,133.11347354523872,1546.069834308729,427.212081215069,853.9174895797677,550.6908272920543,533.8836290978292,275.40927292846845,279.73876890856263,1058.4863523210759
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,658.9058103584888,650.9934820488605,216.93930055309318,149.76528142295297,1151.6413500997262,496.71096958544354,817.6774326757252,553.9528051115374,597.7487939274454,281.5459522630595,253.2311244825122,951.7586508037515
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,knn,"{'n_neighbors': 5, 'weights': 'distance'}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,661.3394183631854,632.3489103635238,295.53908414877213,49.55088179161104,1553.5359557441166,458.91184277657044,854.6490025293551,541.1048886607322,528.2550218271268,299.5937525744754,271.40522268782655,983.3407122219201
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,hist_gradient_boosting,"{'max_iter': 2000, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 5}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,663.306819659246,593.2231558541707,334.5962548545491,101.26768205975304,1566.2856213467028,406.9506241274645,914.6589992435667,549.8233098371968,459.10009768566215,288.28925298579543,251.1454373538794,1069.1038817737574
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,hist_gradient_boosting,"{'max_iter': 2000, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 3}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,663.3945868379249,574.8239537215073,336.2205421668548,88.57389607169263,1580.847904177996,402.71819358582786,872.5950021099983,553.2905521938023,480.63085639486894,284.3659997512591,251.76347788691953,1092.3803200176112
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,664.7242993849592,633.3740997576249,274.6680326643426,212.51083715755476,1439.6817050585328,431.1032710012613,816.5121346952235,566.1931390824104,523.2237505318332,275.9550336054324,255.68948028349217,1085.8073488588932
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,svr,"{'kernel': 'rbf', 'C': 10.0, 'epsilon': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,670.0742998879646,599.653283146446,389.51784445437517,75.35739510429869,2116.906493726914,391.2908864022183,878.5085014052795,549.630184273437,488.827957691115,290.3536086786517,247.60334113945422,1109.580114915054
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,670.2166660654894,628.073811290262,302.5916630476823,108.19285153620676,1551.939511350039,449.3605822742165,865.0177488233589,571.5988814273854,542.9812263721294,273.83161002539526,262.3441297005079,1035.0923624896018
