,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x,5395.0,-0.04646459766623046,0.0026790607118954315,-0.053461045026779175,-0.048480826616287276,-0.046508568525314375,-0.04433850944042206,-0.04087338447570804,0.012587660551071134
left_iris_rel_face_y,5395.0,-0.06383740113221241,0.002657913650912076,-0.06934746503829958,-0.06580371558666234,-0.06407547593116758,-0.061958351731300376,-0.05525984168052678,0.014087623357772805
right_iris_rel_face_x,5395.0,0.05122217092832225,0.0031217605318202184,0.04375965595245357,0.04870122671127319,0.05104437470436096,0.053561356663703874,0.05904532074928287,0.015285664796829301
right_iris_rel_face_y,5395.0,-0.06033689922817998,0.0024825542405708927,-0.06565768718719478,-0.06221543252468109,-0.060008227825164795,-0.05872068703174593,-0.05283607244491573,0.012821614742279053
