,count,mean,std,min,25%,50%,75%,max,range
left_iris_rel_face_x,500.0,-0.059578052520751955,0.0044481518692994874,-0.0693112730979919,-0.06321353167295461,-0.05926718115806584,-0.055841352045536016,-0.04951036572456352,0.019800907373428378
left_iris_rel_face_y,500.0,-0.07630974426269532,0.002385809393397685,-0.08391744494438175,-0.07791308611631398,-0.07651408016681671,-0.07452967017889026,-0.06779537200927732,0.016122072935104426
right_iris_rel_face_x,500.0,0.0622874417304993,0.004029715358672918,0.05255379080772404,0.05943577885627746,0.06187045872211458,0.06547976732254031,0.07175484299659729,0.019201052188873247
right_iris_rel_face_y,500.0,-0.074739570581913,0.003488730457644401,-0.08153997063636775,-0.07696990817785265,-0.07475040853023529,-0.07280377000570293,-0.05901169776916504,0.022528272867202714
